fo"k; dksM
SUBJECT
CODE,fo"k;
SUBJECT NAME,fyf[kr
THEORY,çk;ksfxd
PRACTICAL,;ksx
TOTAL,;ksx ('kCnksa esa)
TOTAL (IN WORDS),fLFkrh; xzsM
POSITIONAL
GRADE
301,ENGLISH CORE,074,018,092,NINETY TWO,A2
041,MATHEMATICS,077,020,097,NINETY SEVEN,A1
042,PHYSICS,061,030,091,NINETY ONE,A2
043,CHEMISTRY,062,030,092,NINETY TWO,A2
049,PAINTING,027,068,095,NINETY FIVE,B1
500,WORK EXPERIENCE,,,---,,A1
502,HEALTH & PHYSICAL
EDUCATION,,,---,,A1
503,GENERAL STUDIES,,,---,,A1
